DR,crime_code,NARRATIVE,classification
120120958,623,AFTER PLACING SUSPECT UNDER ARREST FOR PPA BATTERY SUSPECT USING HIS RIGHT LEG KICKED POLICE SERGEANT IN THE BACK,minor
120120929,624,VICTIM AND SUSPECT BECAME INVOLVED IN VERBAL ARGUMENT SUSPECT THEN BEGAN HITTING VICTIM IN THE FACE,minor
120120928,624,VICTIM AND SUSPECT BECAME INVOLVED IN VERBAL ARGUMENT SUSPECT THEN BEGAN HITTING VICTIM IN THE FACE,minor
121920543,624,VICTIM SUSPECT INVOLVED IN ARGUMENT SUSPECT PUNCHED VICTIMS FACE TORSO,minor
121425107,624,VICTIM AND SUSPECT ARE IN COHAB RELATIONSHIP VICTIM SLAPPED SUSPECT SUSPECT STRANGLED VICTIM FOR APPROX 1 SECOND NO INJURIES,minor
121425028,624,VICTIM AND HUSBAND IN VERBAL ARGUMENT SUSP HIT VICT IN FACE,minor
120219177,624,VICTIM ADVISED SUSPECT TO REMOVE PROP FROM THE SIDEWALK SUSPECT BEGAN TO YELL AT VICTIM AND THEN SPIT IN THE VICTIM FACE,minor
121718378,624,VICTIM WAS WALKING ON SIDEWALK WHEN SUSPECT CONFRONTED HIM SUSPECT APPROACHED PUNCHING AND KICKING VICTIM,minor
121425010,624,VICTIM WAS PUSHED BY SUSPECT ON CHEST TWICE CAUSING VICTIM TO FALL TO GROUND SUSPECT FLED STRAIGHT ON AIRPORT IN VEHICLE,minor
120624680,624,VICTIM IS SECURITY GUARD AT TACO BELL SUSPECT THREW A CUP OF SODA IN VICTIM FACE AFTER BEING TOLD TO LEAVE RESTAURANT,minor
122017931,624,VICTIM IS SUSPECTS MOTHER SUSPECT BECAME ANGRY AT VICTIM AND PUNCHED HER IN THE FACE TWICE CAUSING INJURY SUSPECT FLED TO A LOCATION IN UNKNOWN DIRECTION,minor
121223206,624,UNKNOWN SUSPECT ATTACKED VICTIM UNKNOWN OF ANY WEAPONS USED VICTIM UNCONSCIOUS AT HOSPITAL DUE TO MEDICATION UNABLE TO INTERVIEW,minor
121920552,624,SUSPECT VICTIM INVOLVED IN ARGUMENT OVER STOLENPROP SUSPECT THREW CUP OF SODA AT VICTIM HITTING HER ON NECK UPPER CHEST,minor
120323253,624,SUSPECT WILLFULLY AND UNLAWFULLY WITH HIS RIGHT FIST PUNCHED VICTIM IN THE FACE,minor
120120930,624,SUSPECT STURCK VICTIM TWICE WITH CLOSED FISTS ON RIGHT SIDE OF FACE SUSPECT THEN FLED TO A LOCATION IN UNKNOWN DIRECTION,minor
120120931,624,SUSPECT STRUCK VICTIM ON FACE WITH CLOSED FISTS AFTER LOSING A LUNCH BET SUSPECT THEN FOLLOWED VICTIM TOWARDS PARKING LOT AND THREATENED TO CONTINUE HITTING VICTIM,minor
120322349,624,SUSPECT STRUCK VICTIM IN FACE AND LEG WITH CLOSED FISTS LEAVING VISIBLE INJURIES SUSPECT FLED TO A LOCATION IN UNKNOWN DIRECTION,minor
121519621,624,SUSPECT PUSHED VICTIM,minor
121425050,624,SUSPECT ENTERED THE STORE AND BECAME INVOLVED WITH VICTIM SUSPECT BECAME ANGRY AND THREW THE CHOCOLATE CANDY AT THE VICTIM FACE,minor
121425051,624,SUSPECT BEGAN YELLING AT VICTIM BECAUSE SUSPECT WAS UNHAPPY THAT VICTIM ASKED HIM TO MOVE SUSPECT PUNCHED VICTIM IN THE RIGHT CHEECK WITH CLOSED FIST THEN FLED SAN BERNARDINO SPEEDWAY,minor
120120971,624,SUSPECT APPROACHED VICTIM WHILE SHE WAS SEATED SUSPECT WAS FLEEING FROM SECURITY SUSPECT STROKED VICTIM LEG AS HE PASSED BY VICTIM SUSPECT FLED TO A  LOCATION ON FOOT,minor
120219312,624,SUSPECT APPROACHED VICTIM AND STRUCK HIM ON FACE SUSPECT GRABBED VICTIM PHONE AND FLED TO A LOCATION,minor
120624697,624,SUSPECT APPROACHED VICTIM FROM BEHIND AND GRABBED HER VICTIM STRUGGLED TO BREAK SUSPECT HOLD AND RECEIVED A LACERATION TO RIGHT ARM BY UNKNOWN OBJECT SUSPECT FLED ON FOOT,minor
